Pop.Type,loc,bed,row,col,pop,mf,rep,Genotype,block,flowers,fruits,FrFlN,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,WL2_Lat,WL2_Long,WL2_Elev,Geographic_Dist,Elev_Dist,ProbFruits
2023-survivor,A_6_B,A,6,B,CC,3,3,CC_3_3,A,NA,NA,NA,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,NA
2023-survivor,A_16_B,A,16,B,BH,3,3,BH_3_3,A,NA,NA,NA,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,NA
2023-survivor,A_17_A,A,17,A,BH,7,3,BH_7_3,A,0,40,40,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
2023-survivor,A_18_A,A,18,A,BH,4,3,BH_4_3,A,NA,NA,NA,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,NA
2023-survivor,A_24_A,A,24,A,WL2,7,9,WL2_7_9,A,0,6,6,High,2020.115818,38.8263,-120.25242,0.23834796265124175,0.29776019955620475,0.22560862836588205,0.24685507697635775,38.82599,-120.2509,2020,136.2621716836303,-0.1158179999999902,1
2023-survivor,A_32_B,A,32,B,IH,7,4,IH_7_4,B,0,7,7,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
2023-survivor,A_35_A,A,35,A,SC,8,4,SC_8_4,B,0,21,21,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,1
2023-survivor,A_36_A,A,36,A,BH,3,4,BH_3_4,B,0,62,62,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
2023-survivor,A_39_B,A,39,B,WL2,7,10,WL2_7_10,B,0,59,59,High,2020.115818,38.8263,-120.25242,0.23834796265124175,0.29776019955620475,0.22560862836588205,0.24685507697635775,38.82599,-120.2509,2020,136.2621716836303,-0.1158179999999902,1
2023-survivor,A_45_B,A,45,B,IH,2,4,IH_2_4,B,0,26,26,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
2023-survivor,A_49_A,A,49,A,YO7,7,23,YO7_7_23,B,0,75,75,High,2469.978665,37.80903,-119.56605,0.35348538327998885,0.34322189186049695,0.3278142543551394,0.31317642544210694,38.82599,-120.2509,2020,128036.86977041698,-449.9786650000001,1
2023-survivor,A_53_A,A,53,A,CC,4,4,CC_4_4,B,0,34,34,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,1
2023-survivor,A_53_B,A,53,B,BH,7,4,BH_7_4,B,8,42,50,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
2023-survivor,A_14_D,A,14,D,CC,8,3,CC_8_3,A,NA,NA,NA,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,NA
2023-survivor,A_15_C,A,15,C,CC,1,3,CC_1_3,A,0,15,15,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,1
2023-survivor,A_17_D,A,17,D,BH,2,3,BH_2_3,A,0,41,41,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
2023-survivor,A_22_D,A,22,D,SC,8,3,SC_8_3,A,0,24,24,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,1
2023-survivor,A_36_C,A,36,C,SC,2,4,SC_2_4,B,0,19,19,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,1
2023-survivor,A_45_D,A,45,D,SC,4,4,SC_4_4,B,0,28,28,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,1
2023-survivor,A_46_D,A,46,D,SQ1,5,10,SQ1_5_10,B,0,2,2,Mid,1921.036585,36.56435,-118.7764,0.15925195605398132,0.21651191155607505,0.3096793544250043,0.2925525962370832,38.82599,-120.2509,2020,283280.5411867855,98.96341499999994,1
2023-survivor,A_50_D,A,50,D,IH,6,4,IH_6_4,B,0,18,18,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
2023-survivor,A_56_C,A,56,C,IH,1,4,IH_1_4,B,0,10,10,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
2023-survivor,A_58_D,A,58,D,YO7,7,13,YO7_7_13,B,0,25,25,High,2469.978665,37.80903,-119.56605,0.35348538327998885,0.34322189186049695,0.3278142543551394,0.31317642544210694,38.82599,-120.2509,2020,128036.86977041698,-449.9786650000001,1
2023-survivor,B_22_A,B,22,A,IH,3,5,IH_3_5,C,0,49,49,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
2023-survivor,B_25_A,B,25,A,IH,6,5,IH_6_5,C,0,16,16,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
2023-survivor,B_42_A,B,42,A,BH,2,5,BH_2_5,C,0,53,53,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
2023-survivor,B_43_A,B,43,A,BH,5,5,BH_5_5,C,0,61,61,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
2023-survivor,B_56_A,B,56,A,SC,6,15,SC_6_15,B,0,64,64,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,1
2023-survivor,B_57_A,B,57,A,IH,4,4,IH_4_4,B,NA,NA,NA,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,NA
